电影ID,电影名称,电影描述,电影排序标题,演员,导演,上映时间,发行商,电影时长,标签,文件地址,视频编码,视频宽度,视频高度,视频时间
movie-031,雨人,自闭症哥哥和弟弟踏上旅途的感人故事,雨人,达斯汀·霍夫曼|汤姆·克鲁斯|瓦莱丽亚·戈利诺|杰拉尔·奥芬,巴瑞·莱文森,1988,哥伦比亚影业,133,剧情,D:/Movies/雨人.mp4,H264,1920,1080,7980
movie-032,美国美人,中年男子面临存在危机的黑色喜剧,美国美人,凯文·史派西|安妮特·贝宁|索拉·伯奇|米娜·菲奥莉,萨姆·门德斯,1999,梦工厂,122,剧情|喜剧|爱情,D:/Movies/美国美人.mp4,H264,1920,1080,7320
movie-033,心灵捕手,麻省理工学院的清洁工解开数学难题并接受心理治疗,心灵捕手,马特·达蒙|罗宾·威廉姆斯|本·阿弗莱克|斯特兰·斯卡斯加德,格斯·范·桑特,1997,米拉麦克斯影业,126,剧情,D:/Movies/心灵捕手.mp4,H264,1920,1080,7560
movie-034,楚门的世界,一个男人发现自己生活在一个巨大的电视节目中,楚门的世界,金·凯瑞|劳拉·林尼|诺亚·爱默里奇|霍兰德·泰勒,彼得·威尔,1998,派拉蒙影业,103,剧情|喜剧,D:/Movies/楚门的世界.mp4,H264,1920,1080,6180
movie-035,拯救大兵瑞恩,诺曼底登陆后寻找伞兵四兄弟唯一幸存者,拯救大兵瑞恩,汤姆·汉克斯|马特·达蒙|汤姆·塞兹摩尔|亚当·戈德堡,史蒂文·斯皮尔伯格,1998,梦工厂,169,战争|剧情|动作,D:/Movies/拯救大兵瑞恩.mp4,H264,1920,1080,10140
movie-036,断背山,两个男人在1960年代怀俄明州发生的爱情故事,断背山,希斯·莱杰|杰克·吉伦哈尔|米歇尔·威廉姆斯|安妮·海瑟薇,李安,2005,焦点电影,134,剧情|爱情|西部,D:/Movies/断背山.mp4,H264,1920,1080,8040
movie-037,少年派的奇幻漂流,一个男孩和一只孟加拉虎在太平洋上的生存故事,少年派的奇幻漂流,苏拉·沙玛|伊尔凡·可汗|塔布|阿迪勒·侯赛因,李安,2012,二十世纪福克斯,127,剧情|奇幻|冒险,D:/Movies/少年派的奇幻漂流.mp4,H264,1920,1080,7620
movie-038,达芬奇密码,哈佛教授揭开达芬奇画作中隐藏的秘密,达芬奇密码,汤姆·汉克斯|奥黛丽·塔图|伊恩·麦克莱恩|让·雷诺,朗·霍华德,2006,哥伦比亚影业,149,悬疑|惊悚|剧情,D:/Movies/达芬奇密码.mp4,H264,1920,1080,8940
movie-039,本杰明·巴顿奇事,一个男人以逆龄方式度过一生的奇特人生,本杰明·巴顿奇事,布拉德·皮特|塔拉吉·P·汉森|马提亚斯·休厄尔|朱莉娅·奥蒙德,大卫·芬奇,2008,派拉蒙影业,166,剧情|奇幻|爱情,D:/Movies/本杰明·巴顿奇事.mp4,H264,1920,1080,9960
movie-040,社交网络,Facebook创始人马克·扎克伯格的创业故事,社交网络,杰西·艾森伯格|安德鲁·加菲尔德|贾斯汀·汀布莱克|鲁妮·玛拉,大卫·芬奇,2010,哥伦比亚影业,120,剧情|传记,D:/Movies/社交网络.mp4,H264,1920,1080,7200
